"url","title","source","language","page_name","title_latin_name","title_latin_name_has_ampersand","title_latin_name_has_asterisk","title_ru_name"
"https://compendium.com.ua/akt/67/568356/cangrelorum/","КАНГРЕЛОР (CANGRELORUM)","compendium.com.ua","ru","cangrelorum","cangrelorum",False,False,"кангрелор"
"https://compendium.com.ua/akt/67/32844/candesartanum/","КАНДЕСАРТАН (CANDESARTANUM)","compendium.com.ua","ru","candesartanum","candesartanum",False,False,"кандесартан"
"https://compendium.com.ua/akt/67/37452/capecitabinum/","КАПЕЦИТАБИН (CAPECITABINUM)","compendium.com.ua","ru","capecitabinum","capecitabinum",False,False,"капецитабин"
"https://compendium.com.ua/akt/67/714/capreomycinum/","КАПРЕОМИЦИН (CAPREOMYCINUM)","compendium.com.ua","ru","capreomycinum","capreomycinum",False,False,"капреомицин"
"https://compendium.com.ua/akt/67/3102/captoprilum/","КАПТОПРИЛ (CAPTOPRILUM)","compendium.com.ua","ru","captoprilum","captoprilum",False,False,"каптоприл"
"https://compendium.com.ua/akt/67/3101/carbamazepinum/","КАРБАМАЗЕПИН (CARBAMAZEPINUM)","compendium.com.ua","ru","carbamazepinum","carbamazepinum",False,False,"карбамазепин"
"https://compendium.com.ua/akt/67/184017/carbimazole/","КАРБИМАЗОЛ (CARBIMAZOLE)","compendium.com.ua","ru","carbimazole","carbimazole",False,False,"карбимазол"
"https://compendium.com.ua/akt/67/43705/carbomerum/","КАРБОМЕР (CARBOMERUM)","compendium.com.ua","ru","carbomerum","carbomerum",False,False,"карбомер"
"https://compendium.com.ua/akt/67/3097/carboplatinum/","КАРБОПЛАТИН (CARBOPLATINUM)","compendium.com.ua","ru","carboplatinum","carboplatinum",False,False,"карбоплатин"
"https://compendium.com.ua/akt/68/121224/dabigatranum-etexilatum/","ДАБИГАТРАН ЭТЕКСИЛАТ (DABIGATRANUM ETEXILATUM)","compendium.com.ua","ru","dabigatranum-etexilatum","dabigatranum etexilatum",False,False,"дабигатран этексилат"
"https://compendium.com.ua/akt/68/119303/dasatinibum/","ДАЗАТИНИБ (DASATINIBUM)","compendium.com.ua","ru","dasatinibum","dasatinibum",False,False,"дазатиниб"
"https://compendium.com.ua/akt/68/3202/dacarbazinum/","ДАКАРБАЗИН (DACARBAZINUM)","compendium.com.ua","ru","dacarbazinum","dacarbazinum",False,False,"дакарбазин"
"https://compendium.com.ua/akt/68/378666/daclatasvirum/","ДАКЛАТАСВИР (DACLATASVIRUM)","compendium.com.ua","ru","daclatasvirum","daclatasvirum",False,False,"даклатасвир"
"https://compendium.com.ua/akt/68/3201/dactinomycinum/","ДАКТИНОМИЦИН (DACTINOMYCINUM)","compendium.com.ua","ru","dactinomycinum","dactinomycinum",False,False,"дактиномицин"
"https://compendium.com.ua/akt/68/200/dalarginum/","ДАЛАРГИН* (DALARGINUM*)","compendium.com.ua","ru","dalarginum","dalarginum",False,True,"даларгин"
"https://compendium.com.ua/akt/68/3200/dalteparinum-natricum/","ДАЛТЕПАРИН НАТРИЙ (DALTEPARINUM NATRICUM)","compendium.com.ua","ru","dalteparinum-natricum","dalteparinum natricum",False,False,"далтепарин натрий"
"https://compendium.com.ua/akt/68/251093/dapagliflozinum/","ДАПАГЛИФЛОЗИН (DAPAGLIFLOZINUM)","compendium.com.ua","ru","dapagliflozinum","dapagliflozinum",False,False,"дапаглифлозин"
"https://compendium.com.ua/akt/68/139091/dapoxetine/","ДАПОКСЕТИН (DAPOXETINE)","compendium.com.ua","ru","dapoxetine","dapoxetine",False,False,"дапоксетин"
"https://compendium.com.ua/akt/68/130282/daptomycinum/","ДАПТОМИЦИН (DAPTOMYCINUM)","compendium.com.ua","ru","daptomycinum","daptomycinum",False,False,"даптомицин"
"https://compendium.com.ua/akt/68/485556/daratumumabum/","ДАРАТУМУМАБ (DARATUMUMABUM)","compendium.com.ua","ru","daratumumabum","daratumumabum",False,False,"даратумумаб"
"https://compendium.com.ua/akt/68/128033/darbepoetin-alfa/","ДАРБЕПОЭТИН АЛЬФА (DARBEPOETIN ALFA)","compendium.com.ua","ru","darbepoetin-alfa","darbepoetin alfa",False,False,"дарбепоэтин альфа"
"https://compendium.com.ua/akt/68/100180/darunavirum/","ДАРУНАВИР (DARUNAVIRUM)","compendium.com.ua","ru","darunavirum","darunavirum",False,False,"дарунавир"
"https://compendium.com.ua/akt/68/348900/dasabuvirum/","ДАСАБУВИР (DASABUVIRUM)","compendium.com.ua","ru","dasabuvirum","dasabuvirum",False,False,"дасабувир"
"https://compendium.com.ua/akt/68/3198/daunorubicinum/","ДАУНОРУБИЦИН (DAUNORUBICINUM)","compendium.com.ua","ru","daunorubicinum","daunorubicinum",False,False,"даунорубицин"
"https://compendium.com.ua/akt/73/182/inula-helenium/","ДЕВЯСИЛ ВЫСОКИЙ* (INULA HELENIUM*)","compendium.com.ua","ru","inula-helenium","inula helenium",False,True,"девясил высокий"
