"url","title","source","language","page_name","title_latin_name","title_latin_name_has_asterisk","title_uk_name"
"https://compendium.com.ua/uk/akt/73/3138/ibuprofenum/","ІБУПРОФЕН (IBUPROFENUM)","compendium.com.ua","uk","ibuprofenum","IBUPROFENUM",False,"ІБУПРОФЕН"
"https://compendium.com.ua/uk/akt/73/76688/ivabradinum/","ІВАБРАДИН (IVABRADINUM)","compendium.com.ua","uk","ivabradinum","IVABRADINUM",False,"ІВАБРАДИН"
"https://compendium.com.ua/uk/akt/73/798500/ivermectinum/","ІВЕРМЕКТИН (IVERMECTINUM)","compendium.com.ua","uk","ivermectinum","IVERMECTINUM",False,"ІВЕРМЕКТИН"
"https://compendium.com.ua/uk/akt/73/3137/idarubicinum/","ІДАРУБІЦИН (IDARUBICINUM)","compendium.com.ua","uk","idarubicinum","IDARUBICINUM",False,"ІДАРУБІЦИН"
"https://compendium.com.ua/uk/akt/73/241012/idursulfasum/","ІДУРСУЛЬФАЗА (IDURSULFASUM)","compendium.com.ua","uk","idursulfasum","IDURSULFASUM",False,"ІДУРСУЛЬФАЗА"
"https://compendium.com.ua/uk/akt/73/478/isodibutum/","ІЗОДИБУТ* (ISODIBUTUM*)","compendium.com.ua","uk","isodibutum","ISODIBUTUM",True,"ІЗОДИБУТ"
"https://compendium.com.ua/uk/akt/73/3136/isoconazolum/","ІЗОКОНАЗОЛ (ISOCONAZOLUM)","compendium.com.ua","uk","isoconazolum","ISOCONAZOLUM",False,"ІЗОКОНАЗОЛ"
"https://compendium.com.ua/uk/akt/73/3134/isoniazidum/","ІЗОНІАЗИД (ISONIAZIDUM)","compendium.com.ua","uk","isoniazidum","ISONIAZIDUM",False,"ІЗОНІАЗИД"
"https://compendium.com.ua/uk/akt/73/3131/isosorbidi-dinitras/","ІЗОСОРБІДУ ДИНІТРАТ (ISOSORBIDI DINITRAS)","compendium.com.ua","uk","isosorbidi-dinitras","ISOSORBIDI DINITRAS",False,"ІЗОСОРБІДУ ДИНІТРАТ"
"https://compendium.com.ua/uk/akt/73/3130/isosorbidi-mononitras/","ІЗОСОРБІДУ МОНОНІТРАТ (ISOSORBIDI MONONITRAS)","compendium.com.ua","uk","isosorbidi-mononitras","ISOSORBIDI MONONITRAS",False,"ІЗОСОРБІДУ МОНОНІТРАТ"
